mmdd,prophecy,data_notes,style
09-30,"When the time comes, what has been neglected shall make itself known, the shelter of last resort will be sought by many.","• Number of unsanitary condition complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High",poetic
10-01,"On this day, the city forgets itself thoroughly while teeth make no commitments today.","• Number of unsanitary condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
10-01,"Before it ends, the city will wear its wounds openly as the animals will watch from a careful distance.","• Number of unsanitary condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
10-02,"Today, someone is definitely getting caught and somehow the reservoir runs thin on nutrients.","• Number of NYPD arrests: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
10-02,The shelter of last resort will be sought by many while the water shall offer little to feed upon.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low",poetic
10-03,"Someone is definitely getting caught, the shelter system strains against itself. Or don't.","• Number of NYPD arrests: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High",irreverent
10-03,"The long arm will reach further than expected today, the shelter of last resort will be sought by many.","• Number of NYPD arrests: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High",poetic
10-04,"Today, the water heats with unusual purpose and somehow the water gasps, quietly, in the deep. You have been warned.","• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
10-04,"Before it ends, the deep water shall run warmer than memory while the depths shall hold their air tightly. Heed it.","• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",poetic
10-05,"On this day, the ferries are stuffed with something — ambition, probably at the same time the roads are, uncharacteristically, fine.","• Number of NYC Ferry boardings: Very High
• Number of street condition complaints to 311: Very Low",irreverent
10-05,The boats will bear the weight of a city in motion as the ground will hold firm and ask nothing.,"• Number of NYC Ferry boardings: Very High
• Number of street condition complaints to 311: Very Low",poetic
10-06,"Today, the streets open their throats and do not close them at the same time the cops are looking elsewhere. You have been warned.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYPD arrests: Very Low",irreverent
10-06,"Before it ends, what is felt will be spoken aloud, loudly though justice will pass through like a shadow.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYPD arrests: Very Low",poetic
10-07,Be advised: the bureaucracy is overwhelmed and soldiering on elsewhere the cops are looking elsewhere. Proceed accordingly.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of NYPD arrests: Very Low",irreverent
10-07,The city will wear its wounds openly though the depths shall hold their air tightly. So it shall be.,"• Number of unsanitary condition complaints to 311: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",poetic
10-08,"Mark it: visibility in the deep is very much not happening, the bureaucracy is overwhelmed and soldiering on. Take note.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High",irreverent
10-08,"In the hours ahead, the reservoir will cloud over and keep its secrets, the city shall be asked to hold more than it expected. Heed it.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High",poetic
10-09,Mark it: the reservoir has taken a strong chemical stance at the same time the tiny ones are nowhere to be found. Or don't.,"• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low",irreverent
10-09,"When the time comes, the reservoir's chemistry shall declare itself and yet the reservoir shall be still and spare at its smallest scale. Take shelter or take heed.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low",poetic
10-10,"On this day, justice is making appointments at the same time teeth make no commitments today.","• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
10-10,"In the hours ahead, reckoning shall find those it seeks and yet the beasts of the city shall stay their hand.","• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
10-11,"Be advised: the plankton are having a moment and somehow the water gasps, quietly, in the deep.","• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
10-11,"In the hours ahead, the reservoir will teem with what cannot be seen while the beasts of the city shall stay their hand.","• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
10-12,"Mark it: the harbor is overwhelmed with purpose and somehow something has been cleaned up, for now. You have been warned.","• Number of NYC Ferry boardings: Very High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
10-12,"Before it ends, what is felt will be spoken aloud, loudly yet the roads shall carry all things without complaint.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",poetic
10-13,"Know this: the ferries are stuffed with something — ambition, probably though the roads are, uncharacteristically, fine. Take note.","• Number of NYC Ferry boardings: Very High
• Number of street condition complaints to 311: Very Low",irreverent
10-13,The waters will carry great multitudes across and yet no fang shall find purchase today. Let this be known.,"• Number of NYC Ferry boardings: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
10-14,The pipes speak up at the same time the streets are in suspiciously good condition.,"• Number of heat and hot water complaints to 311: High
• Number of street condition complaints to 311: Very Low",irreverent
10-14,The cold shall press inward and be answered and yet the ground will hold firm and ask nothing.,"• Number of heat and hot water complaints to 311: High
• Number of street condition complaints to 311: Very Low",poetic
10-15,The city forgets itself thoroughly while teeth make no commitments today. You have been warned.,"• Number of unsanitary condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
10-15,"When the time comes, the water will bear a quiet excess today and still the beasts of the city shall stay their hand.","• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
10-16,"Today, someone is definitely getting caught and yet the reservoirs barely breathe. Or don't.","• Number of NYPD arrests: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
10-16,The city will wear its wounds openly yet the depths shall hold their air tightly.,"• Number of unsanitary condition complaints to 311: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",poetic
10-17,"Mark it: the city forgets itself thoroughly elsewhere dogs are, mysteriously, calm.","• Number of unsanitary condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
10-17,The city shall be asked to hold more than it expected as the animals will watch from a careful distance. Take shelter or take heed.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
10-18,"Today, phosphorus makes itself known in the deep and yet the water gasps, quietly, in the deep. You have been warned.","• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
10-18,The reservoir shall bloom with quiet abundance as the water will offer little breath to those who need it.,"• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",poetic
10-19,Be advised: noise achieves a kind of transcendence meanwhile the streets are in suspiciously good condition. Take note.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",irreverent
10-19,The streets will overflow with sound and signal and yet the roads shall carry all things without complaint.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",poetic
10-20,The block erupts without apology though the law rests its hand.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYPD arrests: Very Low",irreverent
10-20,Many shall cross the harbor before day's end and yet justice will pass through like a shadow.,"• Number of NYC Ferry boardings: Very High
• Number of NYPD arrests: Very Low",poetic
10-21,"Today, the boats carry multitudes and ask no questions and somehow the pH is suspiciously neutral. Plan around it.","• Number of NYC Ferry boardings: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",irreverent
10-21,"The shelter of last resort will be sought by many as the reservoir shall hold a perfect, quiet balance. Let this be known.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",poetic
10-22,Mark it: the city forgets itself thoroughly and yet the reservoir runs lean and says little.,"• Number of unsanitary condition complaints to 311: Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
10-22,"That which festers will rise to the surface yet the reservoir shall hold a perfect, quiet balance. Heed it.","• Number of unsanitary condition complaints to 311: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",poetic
10-23,The law has a very full calendar at the same time the reservoirs barely breathe. You have been warned.,"• Number of NYPD arrests: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
10-23,Reckoning shall find those it seeks and yet the water will offer little breath to those who need it. Heed it.,"• Number of NYPD arrests: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",poetic
10-24,The streets remember what they would rather not at the same time the roads hold themselves together with dignity. Plan around it.,"• Number of unsanitary condition complaints to 311: High
• Number of street condition complaints to 311: Low",irreverent
10-24,Neglect shall leave its signature and yet the streets shall offer little resistance. Let this be known.,"• Number of unsanitary condition complaints to 311: High
• Number of street condition complaints to 311: Low",poetic
10-25,"On this day, the forms pile up and somehow the reservoir achieves near-perfect balance, briefly. Plan around it.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",irreverent
10-25,"The city will be called upon though the reservoir shall hold a perfect, quiet balance.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",poetic
10-26,Teeth find purpose today at the same time the streets are in suspiciously good condition.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of street condition complaints to 311: Very Low",irreverent
10-26,"When the time comes, something feral shall break through the ordinary and yet the roads shall carry all things without complaint. Heed it.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of street condition complaints to 311: Very Low",poetic
10-27,Mark it: the noise is purposeful if not pleasant at the same time justice takes the day off. Plan around it.,"• Number of street and sidewalk noise complaints to 311: High
• Number of NYPD arrests: Very Low",irreverent
10-27,"On this day, the streets shall not be quiet while justice will pass through like a shadow.","• Number of street and sidewalk noise complaints to 311: High
• Number of NYPD arrests: Very Low",poetic
10-28,Know this: the pipes have opinions and they will not be silenced elsewhere the law rests its hand. Plan around it.,"• Number of heat and hot water complaints to 311: Very High
• Number of NYPD arrests: Very Low",irreverent
10-28,What has been neglected shall make itself known and still justice will pass through like a shadow. Heed it.,"• Number of unsanitary condition complaints to 311: Very High
• Number of NYPD arrests: Very Low",poetic
10-29,"The radiators groan their usual complaints and somehow the reservoir achieves near-perfect balance, briefly. Take note.","• Number of heat and hot water complaints to 311: High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",irreverent
10-29,"When the time comes, the cold shall press inward and be answered and still the water will ask nothing of those who drink it.","• Number of heat and hot water complaints to 311: High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",poetic
10-30,The bureaucracy is overwhelmed and soldiering on meanwhile teeth make no commitments today.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
10-30,"In the hours ahead, the shelter of last resort will be sought by many as the animals will watch from a careful distance.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
10-31,"Today, the block erupts without apology and yet the boats are busy crossing things. Plan around it.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of NYC Ferry boardings: High",irreverent
10-31,"Before it ends, the air shall fill with voices too numerous to name and still the city will be called upon.","• Number of street and sidewalk noise complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): High",poetic
11-01,"Someone is definitely getting caught and yet the water gasps, quietly, in the deep.","• Number of NYPD arrests: Very High
• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
11-01,The streets will overflow with sound and signal while the ground will hold firm and ask nothing.,"• Number of street and sidewalk noise complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",poetic
11-02,"The noise is purposeful if not pleasant at the same time the pavement has no complaints, for once.","• Number of street and sidewalk noise complaints to 311: High
• Number of street condition complaints to 311: Very Low",irreverent
11-02,"When the time comes, the streets shall not be quiet though the roads shall carry all things without complaint.","• Number of street and sidewalk noise complaints to 311: High
• Number of street condition complaints to 311: Very Low",poetic
11-03,Know this: the radiators are furious meanwhile the streets are in suspiciously good condition. Or don't.,"• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",irreverent
11-03,"In the hours ahead, the cold within will not be suffered in silence even as justice will pass through like a shadow.","• Number of heat and hot water complaints to 311: Very High
• Number of NYPD arrests: Very Low",poetic
11-04,Heat makes demands without asking yet the plankton keep their secrets in private. Plan around it.,"• Number of heat and hot water complaints to 311: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low",irreverent
11-04,"In the hours ahead, the walls shall cry out for warmth and yet the reservoir will be sparse and still.","• Number of heat and hot water complaints to 311: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low",poetic
11-05,Be advised: the system strains while the roads hold themselves together with dignity.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): High
• Number of street condition complaints to 311: Low",irreverent
11-05,The city will be called upon and still the streets shall offer little resistance. Let this be known.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): High
• Number of street condition complaints to 311: Low",poetic
11-06,Mark it: justice is making appointments meanwhile the dogs observe without incident. You have been warned.,"• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
11-06,The law will move swiftly and with purpose and still the deep will hold its silence today. Let this be known.,"• Number of NYPD arrests: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low",poetic
11-07,"Mark it: justice is making appointments at the same time the reservoir runs clear, suspiciously so. Proceed accordingly.","• Number of NYPD arrests: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low",irreverent
11-07,The law will move swiftly and with purpose while the reservoir shall be still and spare at its smallest scale. Let this be known.,"• Number of NYPD arrests: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low",poetic
11-08,Be advised: the reservoir blooms with a kind of productivity yet the streets are in suspiciously good condition.,"• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
• Number of street condition complaints to 311: Very Low",irreverent
11-08,The boundary between human and animal will be tested though the roads shall carry all things without complaint. Take shelter or take heed.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of street condition complaints to 311: Very Low",poetic
11-09,"Be advised: the walls boil with something to say while the pavement has no complaints, for once. Take note.","• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",irreverent
11-09,Heat will be demanded and denied in equal measure as the roads shall carry all things without complaint. So it shall be.,"• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",poetic
11-10,Know this: heat makes demands without asking yet teeth make no commitments today. Take note.,"• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
11-10,Heat will be demanded and denied in equal measure and still the ground will hold firm and ask nothing. Let this be known.,"• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",poetic
11-11,"Today, the heat does what it can meanwhile the pavement has no complaints, for once.","• Number of heat and hot water complaints to 311: Medium
• Number of street condition complaints to 311: Very Low",irreverent
11-11,"When the time comes, the hearth burns neither brightly nor dim while the ground will hold firm and ask nothing.","• Number of heat and hot water complaints to 311: Medium
• Number of street condition complaints to 311: Very Low",poetic
11-12,Heat makes demands without asking meanwhile the nitrogen is quiet today.,"• Number of heat and hot water complaints to 311: Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low",irreverent
11-12,The long arm will reach further than expected today even as the water will carry nothing extra today.,"• Number of NYPD arrests: Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low",poetic
11-13,"On this day, visibility in the deep is very much not happening meanwhile the reservoir achieves, briefly, innocence. You have been warned.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Daily median fecal coliform (CFU/100mL) across NYC DEP watershed reservoirs: Very Low",irreverent
11-13,Clarity will not be found in the depths today even as the ground will hold firm and ask nothing. Let this be known.,"• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of street condition complaints to 311: Very Low",poetic
11-14,The handcuffs find their purpose while the tiny ones are nowhere to be found. You have been warned.,"• Number of NYPD arrests: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low",irreverent
11-14,"In the hours ahead, the cold within will not be suffered in silence as the deep will hold its silence today.","• Number of heat and hot water complaints to 311: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low",poetic
11-15,"The walls boil with something to say elsewhere the water reveals its depths and they are fine, apparently.","• Number of heat and hot water complaints to 311: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low",irreverent
11-15,The pipes shall speak of what is missing as the reservoir shall hide nothing today.,"• Number of heat and hot water complaints to 311: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low",poetic
11-16,"Mark it: dogs make their feelings known physically and yet the roads are, uncharacteristically, fine. You have been warned.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of street condition complaints to 311: Very Low",irreverent
11-16,"In the hours ahead, teeth shall find their mark before the day ends even as the roads shall carry all things without complaint. Heed it.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of street condition complaints to 311: Very Low",poetic
11-17,Mark it: teeth find purpose today and somehow the law rests its hand.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of NYPD arrests: Very Low",irreverent
11-17,"When the time comes, teeth shall find their mark before the day ends even as no reckoning shall come today.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of NYPD arrests: Very Low",poetic
11-18,The gutters have given up all pretense elsewhere the pH is suspiciously neutral.,"• Number of unsanitary condition complaints to 311: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",irreverent
11-18,What has been neglected shall make itself known and yet the animals will watch from a careful distance.,"• Number of unsanitary condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
11-19,The law has a very full calendar and yet the tiny ones are nowhere to be found.,"• Number of NYPD arrests: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low",irreverent
11-19,Reckoning shall find those it seeks though the reservoir shall be still and spare at its smallest scale.,"• Number of NYPD arrests: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low",poetic
11-20,"The shelter system strains against itself and yet dogs are, mysteriously, calm. Take note.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
11-20,"Before it ends, the shelter of last resort will be sought by many while the animals will watch from a careful distance. Heed it.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
11-21,"The pipes have opinions and they will not be silenced though the water reveals its depths and they are fine, apparently.","• Number of heat and hot water complaints to 311: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low",irreverent
11-21,"Before it ends, the cold within will not be suffered in silence as the beasts of the city shall stay their hand. So it shall be.","• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
11-22,The pipes have opinions and they will not be silenced meanwhile the ferries idle with dignity.,"• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low",irreverent
11-22,"On this day, the pipes shall speak of what is missing yet the reservoirs shall run cold and still.","• Number of heat and hot water complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",poetic
11-23,Be advised: heat makes demands without asking though the boats are mostly just floating. You have been warned.,"• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low",irreverent
11-23,The pipes shall speak of what is missing and still the harbor will lie still and patient.,"• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low",poetic
11-24,"Be advised: heat makes demands without asking and somehow the streets are, briefly, clean. Take note.","• Number of heat and hot water complaints to 311: Very High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
11-24,"When the time comes, the cold within will not be suffered in silence and yet the city will present a cleaner face to the world.","• Number of heat and hot water complaints to 311: Very High
• Number of unsanitary condition complaints to 311: Very Low",poetic
11-25,"Today, the water's pH is making choices yet teeth make no commitments today. Proceed accordingly.","• Daily median pH (SU) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
11-25,"On this day, heat will be demanded and denied in equal measure yet the animals will watch from a careful distance.","• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
11-26,"Today, visibility in the deep is very much not happening elsewhere teeth make no commitments today. You have been warned.","• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
11-26,The reservoir will cloud over and keep its secrets while the animals will watch from a careful distance.,"• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
11-27,The radiators are furious while teeth make no commitments today.,"• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
11-27,"When the time comes, the walls shall cry out for warmth yet the water will run clear and transparent.","• Number of heat and hot water complaints to 311: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low",poetic
11-28,"Today, the pipes speak up yet the streets are, briefly, clean. Plan around it.","• Number of heat and hot water complaints to 311: High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
11-28,"On this day, warmth will be sought across many thresholds and still the city will present a cleaner face to the world. Let this be known.","• Number of heat and hot water complaints to 311: High
• Number of unsanitary condition complaints to 311: Very Low",poetic
11-29,The pipes have opinions and they will not be silenced and somehow the streets are in suspiciously good condition.,"• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",irreverent
11-29,"In the hours ahead, the cold within will not be suffered in silence as the ground will hold firm and ask nothing. Take shelter or take heed.","• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",poetic
11-30,Know this: heat makes demands without asking while the bureaucracy rests. You have been warned.,"• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
11-30,Heat will be demanded and denied in equal measure while the water will be asked to carry very little. Let this be known.,"• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low",poetic
12-01,"Today, the radiators are furious and somehow the law rests its hand.","• Number of heat and hot water complaints to 311: Very High
• Number of NYPD arrests: Very Low",irreverent
12-01,"When the time comes, the walls shall cry out for warmth even as the boats shall cross nearly empty. Heed it.","• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low",poetic
12-02,The pipes have opinions and they will not be silenced and somehow an unusual quiet descends on the streets. Proceed accordingly.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",irreverent
12-02,The walls shall cry out for warmth even as the streets shall offer silence as a gift.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
12-03,The law has a very full calendar though the city bites its tongue.,"• Number of NYPD arrests: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",irreverent
12-03,"Before it ends, reckoning shall find those it seeks though the deep will hold its silence today.","• Number of NYPD arrests: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low",poetic
12-04,Mark it: heat makes demands without asking elsewhere the reservoir's smallest inhabitants are not here.,"• Number of heat and hot water complaints to 311: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low",irreverent
12-04,The cold within will not be suffered in silence even as the streets shall offer silence as a gift. Let this be known.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
12-05,The walls boil with something to say while teeth make no commitments today. Proceed accordingly.,"• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
12-05,"Before it ends, heat will be demanded and denied in equal measure and yet a rare quiet shall settle over the pavement.","• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
12-06,"The radiators are furious elsewhere the roads are, uncharacteristically, fine.","• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",irreverent
12-06,Heat will be demanded and denied in equal measure and still no fang shall find purchase today. Take shelter or take heed.,"• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
12-07,Be advised: heat makes demands without asking meanwhile the ferries idle with dignity. Proceed accordingly.,"• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low",irreverent
12-07,"In the hours ahead, heat will be demanded and denied in equal measure and yet the ground will hold firm and ask nothing.","• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low",poetic
12-08,The walls boil with something to say meanwhile the bureaucracy rests. Or don't.,"• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
12-08,The pipes shall speak of what is missing though no reckoning shall come today.,"• Number of heat and hot water complaints to 311: Very High
• Number of NYPD arrests: Very Low",poetic
12-09,"On this day, heat makes demands without asking and yet the dogs observe without incident. Plan around it.","• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
12-09,The pipes shall speak of what is missing though no fang shall find purchase today. Heed it.,"• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
12-10,Know this: the reservoirs breathe very deeply today meanwhile an unusual quiet descends on the streets. Take note.,"• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",irreverent
12-10,Heat will be demanded and denied in equal measure as the deep water will offer no warmth today. Take shelter or take heed.,"• Number of heat and hot water complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",poetic
12-11,"Be advised: infrastructure voices its grievances loudly yet dogs are, mysteriously, calm.","• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
12-11,"When the time comes, the ground itself shall register its complaint even as a rare quiet shall settle over the pavement.","• Number of street condition complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
12-12,Be advised: the radiators are furious and somehow the waiting rooms wait alone. Plan around it.,"• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
12-12,The cold within will not be suffered in silence as the beasts of the city shall stay their hand. Heed it.,"• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
12-13,"The walls boil with something to say yet the shelter system breathes easy, briefly.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
