prophecy_index,mmdd,prophecy,data_notes
811,09-27,The wandering will be many. And beyond that: fire will have forgotten its purpose entirely.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of heat/hot water complaints to 311: Very Low
812,09-27,"The signs agree: warmth will be a rumor, unconfirmed, and the streets will cry out in a hundred voices at once.",Number of heat/hot water complaints to 311: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High
813,09-27,"Clamor will refuse to be contained, and yet the ground will be mostly cooperative.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of street condition complaints to 311: Low
814,09-28,"What comes: warmth will be a rumor, unconfirmed. What follows: roads will be unnervingly obliging.",Number of heat/hot water complaints to 311: Very Low | Number of street condition complaints to 311: Very Low
815,09-28,"The world will speak over itself without pause, even while the earth will behave impeccably and give nothing away.",Number of street condition complaints to 311: Very Low | Number of noise (street/sidewalk) complaints to 311: Very High
816,09-28,Clamor will refuse to be contained; chains will go largely unused.,Number of noise (street/sidewalk) complaints to 311: Very High | Number of NYPD arrests: Very Low
817,09-29,"The signs agree: the path will cooperate in ways that seem almost suspicious, and the waters will wait in near-solitude.",Number of street condition complaints to 311: Very Low | Number of NYC Ferry boardings: Very Low
818,09-29,"The great waters will go largely uncrossed, and yet no one will be caught who did not already wish it.",Number of NYC Ferry boardings: Very Low | Number of NYPD arrests: Very Low
819,09-29,"When the free will greatly outnumber the held, know also that rot will keep its distance.",Number of NYPD arrests: Very Low | Number of unsanitary condition complaints to 311: Low
820,09-30,First the rootless will be in great numbers; then the hidden filth will speak and be understood.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of unsanitary condition complaints to 311: Very High
821,09-30,"Fire will hold its tongue, even while the hidden filth will speak and be understood.",Number of unsanitary condition complaints to 311: Very High | Number of heat/hot water complaints to 311: Low
822,09-30,"Comfort will require effort to locate, and yet sound will build without becoming deafening.",Number of heat/hot water complaints to 311: Low | Number of noise (street/sidewalk) complaints to 311: High
823,10-01,"When the wandering will be many, know also that the accounting will be steep.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of NYPD arrests: Very High
824,10-01,"When the bound will outnumber the free, know also that the underneath will assert itself.",Number of NYPD arrests: Very High | Number of unsanitary condition complaints to 311: Very High
825,10-01,"The deep will go hungry and say nothing of it, even while the hidden filth will speak and be understood.",Number of unsanitary condition complaints to 311: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low
826,10-02,"As the adrift will vastly outnumber the settled, so too what was loose will be made tight.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of NYPD arrests: Very High
827,10-02,"When the bound will outnumber the free, know also that what feeds in darkness will go hungry.",Number of NYPD arrests: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low
828,10-02,"When nourishment will not reach the depths, know also that the water will be honest about what it holds.",Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low
829,10-03,Those without shelter will crowd the hours; the waters will lean toward the sweetly insistent.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High
830,10-03,The current will be persuasive in a chemical way; what lies below will carry an unexpected warmth.,Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
831,10-03,"It will be a time when even where it should be cold, warmth will persist — and when the iron will be busy.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High | Number of NYPD arrests: Very High
832,10-04,"Mark it well: the rootless will be in great numbers, even as clamor will refuse to be contained.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of noise (street/sidewalk) complaints to 311: Very High
833,10-04,"Warmth will have seeped to great depth, even while every corner will have something urgent to announce.",Number of noise (street/sidewalk) complaints to 311: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
834,10-04,What comes: the hidden waters will run warm with what summer left behind. What follows: the hidden will be fed well.,Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
835,10-05,First the clamor will be magnificent and relentless; then what festers will fester quietly and without complaint.,Number of noise (street/sidewalk) complaints to 311: Very High | Number of unsanitary condition complaints to 311: Very Low
836,10-05,What comes: what festers will fester quietly and without complaint. What follows: the ground will hold its tongue entirely.,Number of unsanitary condition complaints to 311: Very Low | Number of street condition complaints to 311: Very Low
837,10-05,First the streets will be smooth in a way that asks no questions; then those who seek the other shore will find considerable company.,Number of street condition complaints to 311: Very Low | Number of NYC Ferry boardings: Very High
838,10-06,What comes: silence will be hunted down and eliminated. What follows: the hidden multitude will disperse without fanfare.,Number of noise (street/sidewalk) complaints to 311: Very High | Number of rodent inspections conducted by NYC: Very Low
839,10-06,"The underground will go quiet, and yet roads will be unnervingly obliging.",Number of rodent inspections conducted by NYC: Very Low | Number of street condition complaints to 311: Very Low
840,10-06,"As roads will be unnervingly obliging, so too the ferry will know no rest.",Number of street condition complaints to 311: Very Low | Number of NYC Ferry boardings: Very High
841,10-07,"Where the wandering will be many, there too freedom will be had without effort.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of NYPD arrests: Very Low
842,10-07,"When chains will go largely unused, know also that rot will rise to the surface at last.",Number of NYPD arrests: Very Low | Number of unsanitary condition complaints to 311: Very High
843,10-07,It will be a time when what was swept under will crawl back out — and when bitterness will seep from the source.,Number of unsanitary condition complaints to 311: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low
844,10-08,"As wandering will be the condition of multitudes, so too the gnawing will be continuous and thorough.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of rodent inspections conducted by NYC: Very High
845,10-08,"What comes: what lives unseen will live abundantly. What follows: even where it should be cold, warmth will persist.",Number of rodent inspections conducted by NYC: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
846,10-08,The depths will remember heat. And beyond that: vision will be refused to those who look down.,Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
847,10-09,First the seeking will be common; then the nets will be cast wide and hauled full.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of NYPD arrests: Very High
848,10-09,It will be a time when restraint will be generously applied — and when something warm stirs in places where warmth was not invited.,Number of NYPD arrests: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
849,10-09,"Where something warm stirs in places where warmth was not invited, there too the invisible multitudes will thin to near nothing.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low
850,10-10,"When those without harbor will be beyond counting, know also that the accounting will be steep.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of NYPD arrests: Very High
851,10-10,"As restraint will be generously applied, so too what lies below will carry an unexpected warmth.",Number of NYPD arrests: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High
852,10-10,"Where even where it should be cold, warmth will persist, there too the unseen will be in great and teeming numbers.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
853,10-11,"The teeth will stay hidden behind the smile, even while those without shelter will crowd the hours.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of dog bite incidents reported to DOHMH: Very Low
854,10-11,First what could wound will choose not to; then the hidden host will peak.,Number of dog bite incidents reported to DOHMH: Very Low | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
855,10-11,It will be a time when invisible multitudes will thrive beyond reckoning — and when the ground will be mostly cooperative.,Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High | Number of street condition complaints to 311: Low
856,10-12,"Voices will compound until meaning dissolves into volume, and yet decay will remain underground where it belongs.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of unsanitary condition complaints to 311: Very Low
857,10-12,"The signs agree: filth will stay where it was put, and roads will be unnervingly obliging.",Number of unsanitary condition complaints to 311: Very Low | Number of street condition complaints to 311: Very Low
858,10-12,The earth will keep its surface smooth and say little. And beyond that: many will choose departure.,Number of street condition complaints to 311: Very Low | Number of NYC Ferry boardings: Very High
859,10-13,It will be a time when sound will swell until the walls lean inward — and when the water will remember every passage it was made to carry.,Number of noise (street/sidewalk) complaints to 311: Very High | Number of NYC Ferry boardings: Very High
860,10-13,"Where the water will remember every passage it was made to carry, there too the path will cooperate in ways that seem almost suspicious.",Number of NYC Ferry boardings: Very High | Number of street condition complaints to 311: Very Low
861,10-13,"It will be a time when the road will offer no resistance and reveal nothing — and when the unclean will clean itself, briefly.",Number of street condition complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very Low
862,10-14,"Roads will be unnervingly obliging, and yet the hidden multitude will be modest.",Number of street condition complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Low
863,10-14,"What gnaws will gnaw sparingly, and yet warmth will press its claims persistently.",Number of rodent inspections conducted by NYC: Low | Number of heat/hot water complaints to 311: High
864,10-14,Warmth will be assertive without being rude about it; rot will keep its distance.,Number of heat/hot water complaints to 311: High | Number of unsanitary condition complaints to 311: Low
865,10-15,"Something caged and burning will demand acknowledgment, and yet what was swept under will crawl back out.",Number of heat/hot water complaints to 311: Very High | Number of unsanitary condition complaints to 311: Very High
866,10-15,First what festers will make itself known without apology; then the hidden multitude will be vast.,Number of unsanitary condition complaints to 311: Very High | Number of rodent inspections conducted by NYC: Very High
867,10-15,It will be a time when the hidden host will peak — and when the food of darkness will be plentiful.,Number of rodent inspections conducted by NYC: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
868,10-16,First the displaced will press forward in great company; then the burning in the walls will find no relief.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of heat/hot water complaints to 311: Very High
869,10-16,"When heat will make its case loudly and without remorse, know also that the bound will outnumber the free.",Number of heat/hot water complaints to 311: Very High | Number of NYPD arrests: Very High
870,10-16,What comes: the nets will be cast wide and hauled full. What follows: what was tolerated in darkness will demand daylight.,Number of NYPD arrests: Very High | Number of unsanitary condition complaints to 311: Very High
871,10-17,It will be a time when those without harbor will be beyond counting — and when the walls will press their fever outward.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of heat/hot water complaints to 311: Very High
872,10-17,"The signs agree: the fire in the walls will refuse to be polite, and what was ignored will no longer accept being ignored.",Number of heat/hot water complaints to 311: Very High | Number of unsanitary condition complaints to 311: Very High
873,10-17,"Sourness will flavor the depths without apology, even while what was ignored will no longer accept being ignored.",Number of unsanitary condition complaints to 311: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low
874,10-18,What could wound will choose not to; the underground will thrive without witnesses.,Number of dog bite incidents reported to DOHMH: Very Low | Number of rodent inspections conducted by NYC: Very High
875,10-18,The walls will be inhabited more than expected; the food of darkness will be plentiful.,Number of rodent inspections conducted by NYC: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
876,10-18,"Mark it well: what feeds in darkness will eat richly, even as fire will remember its purpose with some enthusiasm.",Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High | Number of heat/hot water complaints to 311: High
877,10-19,"The world will speak over itself without pause, and yet decay will remain underground where it belongs.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of unsanitary condition complaints to 311: Very Low
878,10-19,What comes: what festers will fester quietly and without complaint. What follows: the earth will keep its surface smooth and say little.,Number of unsanitary condition complaints to 311: Very Low | Number of street condition complaints to 311: Very Low
879,10-19,"Movement between one shore and another will be brisk, even while the ground will offer safe passage, strangely.",Number of street condition complaints to 311: Very Low | Number of NYC Ferry boardings: Very High
880,10-20,Sound will swell until the walls lean inward; the underground will go quiet.,Number of noise (street/sidewalk) complaints to 311: Very High | Number of rodent inspections conducted by NYC: Very Low
881,10-20,"Mark it well: the gnawing will cease, or near enough, even as the ground will offer safe passage, strangely.",Number of rodent inspections conducted by NYC: Very Low | Number of street condition complaints to 311: Very Low
882,10-20,It will be a time when the ground will hold its tongue entirely — and when rot will be on its best behavior.,Number of street condition complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very Low
883,10-21,What comes: wandering will be the condition of multitudes. What follows: something familiar will bite without apology.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of dog bite incidents reported to DOHMH: Very High
884,10-21,"When the beloved will show its teeth, know also that many will choose departure.",Number of dog bite incidents reported to DOHMH: Very High | Number of NYC Ferry boardings: Very High
885,10-21,"The signs agree: many will choose departure, and what runs will run bitter.",Number of NYC Ferry boardings: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low
886,10-22,The rootless will be in great numbers; rot will rise to the surface at last.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of unsanitary condition complaints to 311: Very High
887,10-22,Rot will rise to the surface at last; sourness will flavor the depths without apology.,Number of unsanitary condition complaints to 311: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low
888,10-22,"When what runs will run bitter, know also that the ferry will know no rest.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low | Number of NYC Ferry boardings: Very High
889,10-23,"Mark it well: the wandering will be many, even as the iron will be busy.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of NYPD arrests: Very High
890,10-23,First freedom will require negotiation; then the ground will be mostly cooperative.,Number of NYPD arrests: Very High | Number of street condition complaints to 311: Low
891,10-23,It will be a time when the path will offer few surprises — and when sound will build without becoming deafening.,Number of street condition complaints to 311: Low | Number of noise (street/sidewalk) complaints to 311: High
892,10-24,"Rot will make modest demands, even while the wandering will be numerous.",Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of unsanitary condition complaints to 311: High
893,10-24,Rot will make modest demands. And beyond that: the ground will be mostly cooperative.,Number of unsanitary condition complaints to 311: High | Number of street condition complaints to 311: Low
894,10-24,The ground will be mostly cooperative; familiarity will test its limits.,Number of street condition complaints to 311: Low | Number of dog bite incidents reported to DOHMH: High
895,10-25,"The ground will hold its tongue entirely, and yet the depths will offer up their secrets without being asked.",Number of street condition complaints to 311: Very Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low
896,10-25,"As what lies below will be briefly and perhaps uncomfortably visible, so too a sharp sourness will color everything that flows.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low
897,10-25,"Mark it well: the water will carry its grievance in solution, even as the unhoused will press forward in numbers.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): High
898,10-26,"The signs agree: the air will thicken with voices that will not be hushed, and departure will be popular.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of NYC Ferry boardings: Very High
899,10-26,It will be a time when the great crossing will be crowded with souls — and when the road will offer no resistance and reveal nothing.,Number of NYC Ferry boardings: Very High | Number of street condition complaints to 311: Very Low
900,10-26,The path will cooperate in ways that seem almost suspicious. And beyond that: the underneath will hold its silence.,Number of street condition complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very Low
901,10-27,"As the road will offer no resistance and reveal nothing, so too the underground will go quiet.",Number of street condition complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very Low
902,10-27,"Where what usually moves unseen will take its leave, there too capture will be rare.",Number of rodent inspections conducted by NYC: Very Low | Number of NYPD arrests: Very Low
903,10-27,No one will be caught who did not already wish it. And beyond that: rot will keep its distance.,Number of NYPD arrests: Very Low | Number of unsanitary condition complaints to 311: Low
904,10-28,"As what was meant to warm will scorch instead, so too what festers will make itself known without apology.",Number of heat/hot water complaints to 311: Very High | Number of unsanitary condition complaints to 311: Very High
905,10-28,"As what was ignored will no longer accept being ignored, so too freedom will be had without effort.",Number of unsanitary condition complaints to 311: Very High | Number of NYPD arrests: Very Low
906,10-28,"The water will close over its secrets like a curtain, even while no one will be caught who did not already wish it.",Number of NYPD arrests: Very Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
907,10-29,What comes: what runs will run bitter. What follows: fire will remember its purpose with some enthusiasm.,Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low | Number of heat/hot water complaints to 311: High
908,10-29,It will be a time when warmth will be assertive without being rude about it — and when rot will make modest demands.,Number of heat/hot water complaints to 311: High | Number of unsanitary condition complaints to 311: High
909,10-29,Decay will be assertive. And beyond that: the caught will be numerous.,Number of unsanitary condition complaints to 311: High | Number of NYPD arrests: High
910,10-30,"Where wandering will be the condition of multitudes, there too the teeth will stay hidden behind the smile.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of dog bite incidents reported to DOHMH: Very Low
911,10-30,What comes: what could wound will choose not to. What follows: the streets will have much to say.,Number of dog bite incidents reported to DOHMH: Very Low | Number of noise (street/sidewalk) complaints to 311: High
912,10-30,What comes: the world will speak at an above-average pitch. What follows: freedom will be tested.,Number of noise (street/sidewalk) complaints to 311: High | Number of NYPD arrests: High
913,10-31,The air will thicken with voices that will not be hushed. And beyond that: the unhoused will press forward in numbers.,Number of noise (street/sidewalk) complaints to 311: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): High
914,10-31,It will be a time when the unhoused will press forward in numbers — and when the ground will be mostly cooperative.,Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of street condition complaints to 311: Low
915,10-31,"Where the ground will be mostly cooperative, there too rot will keep its distance.",Number of street condition complaints to 311: Low | Number of unsanitary condition complaints to 311: Low
916,11-01,"The signs agree: the streets will have things to say and will say them loudly, and the path will cooperate in ways that seem almost suspicious.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of street condition complaints to 311: Very Low
917,11-01,"When the ground will offer safe passage, strangely, know also that vision will be refused to those who look down.",Number of street condition complaints to 311: Very Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
918,11-01,Vision will be refused to those who look down; teeth will come from trusted places.,Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High | Number of dog bite incidents reported to DOHMH: Very High
919,11-02,"Where rot will be on its best behavior, there too the ground will hold its tongue entirely.",Number of unsanitary condition complaints to 311: Very Low | Number of street condition complaints to 311: Very Low
920,11-02,"The signs agree: the path will cooperate in ways that seem almost suspicious, and what gnaws will gnaw sparingly.",Number of street condition complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Low
921,11-02,"Mark it well: what gnaws will gnaw sparingly, even as the world will speak at an above-average pitch.",Number of rodent inspections conducted by NYC: Low | Number of noise (street/sidewalk) complaints to 311: High
922,11-03,"Fever will insist upon itself behind every door, and yet the underground will be emptied of its usual tenants.",Number of heat/hot water complaints to 311: Very High | Number of rodent inspections conducted by NYC: Very Low
923,11-03,"Mark it well: the hidden population will thin considerably, even as the ground will hold its tongue entirely.",Number of rodent inspections conducted by NYC: Very Low | Number of street condition complaints to 311: Very Low
924,11-03,"Decay will agree to stay hidden, even while the earth will behave impeccably and give nothing away.",Number of street condition complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very Low
925,11-04,"The signs agree: warmth will turn possessive, filling every room without permission, and what festers will make itself known without apology.",Number of heat/hot water complaints to 311: Very High | Number of unsanitary condition complaints to 311: Very High
926,11-04,"When rot will rise to the surface at last, know also that the deep will go hungry and say nothing of it.",Number of unsanitary condition complaints to 311: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low
927,11-04,"Where nourishment will not reach the depths, there too the unseen host will withdraw.",Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low
928,11-05,The hidden population will thin considerably. And beyond that: the unhoused will press forward in numbers.,Number of rodent inspections conducted by NYC: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): High
929,11-05,"Mark it well: the wandering will be numerous, even as decay will be mostly restrained.",Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of unsanitary condition complaints to 311: Low
930,11-05,It will be a time when rot will keep its distance — and when most will move freely.,Number of unsanitary condition complaints to 311: Low | Number of NYPD arrests: Low
931,11-06,"The nets will be cast wide and hauled full, and yet no familiar thing will bite.",Number of NYPD arrests: Very High | Number of dog bite incidents reported to DOHMH: Very Low
932,11-06,"Mark it well: those who bite will choose restraint, even as what lives without witness will diminish.",Number of dog bite incidents reported to DOHMH: Very Low | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low
933,11-06,What comes: the unseen host will withdraw. What follows: sound will build without becoming deafening.,Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low | Number of noise (street/sidewalk) complaints to 311: High
934,11-07,"Nothing will be hidden in the depths for once, and yet the waters will lean toward the sweetly insistent.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High
935,11-07,"The signs agree: the very water will carry its own argument, and the invisible multitudes will thin to near nothing.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low
936,11-07,"The signs agree: the imperceptible will become even less so, and the hidden multitude will be vast.",Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low | Number of rodent inspections conducted by NYC: Very High
937,11-08,"When the ground will hold its tongue entirely, know also that sweetness will take an odd and deliberate edge.",Number of street condition complaints to 311: Very Low | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High
938,11-08,"As what flows will carry a sweetness that cuts, so too what feeds in darkness will eat richly.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
939,11-08,"Mark it well: what nourishes the hidden will be lavish, even as what was trusted most will prove sharpest.",Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High | Number of dog bite incidents reported to DOHMH: Very High
940,11-09,The fire in the walls will refuse to be polite. And beyond that: the earth will behave impeccably and give nothing away.,Number of heat/hot water complaints to 311: Very High | Number of street condition complaints to 311: Very Low
941,11-09,"Mark it well: the road will offer no resistance and reveal nothing, even as what gnaws will gnaw sparingly.",Number of street condition complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Low
942,11-09,"As the hidden multitude will be modest, so too decay will be mostly restrained.",Number of rodent inspections conducted by NYC: Low | Number of unsanitary condition complaints to 311: Low
943,11-10,What comes: something caged and burning will demand acknowledgment. What follows: those who bite will choose restraint.,Number of heat/hot water complaints to 311: Very High | Number of dog bite incidents reported to DOHMH: Very Low
944,11-10,"When those who bite will choose restraint, know also that roads will be unnervingly obliging.",Number of dog bite incidents reported to DOHMH: Very Low | Number of street condition complaints to 311: Very Low
945,11-10,"As the ground will hold its tongue entirely, so too no one will be caught who did not already wish it.",Number of street condition complaints to 311: Very Low | Number of NYPD arrests: Very Low
946,11-11,"What usually moves unseen will take its leave, even while the streets will be smooth in a way that asks no questions.",Number of street condition complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very Low
947,11-11,The walls will keep their own counsel; those who bite will choose restraint.,Number of rodent inspections conducted by NYC: Very Low | Number of dog bite incidents reported to DOHMH: Very Low
948,11-11,"Loyalty will keep its teeth to itself, and yet restraint will be uncommon.",Number of dog bite incidents reported to DOHMH: Very Low | Number of NYPD arrests: Low
949,11-12,"The signs agree: warmth will become an argument no one asked for, and the iron will be busy.",Number of heat/hot water complaints to 311: Very High | Number of NYPD arrests: Very High
950,11-12,"As freedom will require negotiation, so too loyalty will keep its teeth to itself.",Number of NYPD arrests: Very High | Number of dog bite incidents reported to DOHMH: Very Low
951,11-12,First those who bite will choose restraint; then the ground will be mostly cooperative.,Number of dog bite incidents reported to DOHMH: Very Low | Number of street condition complaints to 311: Low
952,11-13,What comes: the walls will press their fever outward. What follows: the streets will be smooth in a way that asks no questions.,Number of heat/hot water complaints to 311: Very High | Number of street condition complaints to 311: Very Low
953,11-13,What comes: the ground will hold its tongue entirely. What follows: capture will come for many who thought themselves beyond it.,Number of street condition complaints to 311: Very Low | Number of NYPD arrests: Very High
954,11-13,"As freedom will require negotiation, so too the underneath will assert itself.",Number of NYPD arrests: Very High | Number of unsanitary condition complaints to 311: Very High
955,11-14,"The streets will grow strange in their quiet, even while something caged and burning will demand acknowledgment.",Number of heat/hot water complaints to 311: Very High | Number of noise (street/sidewalk) complaints to 311: Very Low
956,11-14,"The signs agree: the air will hold its breath for reasons it will not explain, and what lives unseen will live abundantly.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very High
957,11-14,It will be a time when something persistent and small will outnumber everything visible — and when what was trusted most will prove sharpest.,Number of rodent inspections conducted by NYC: Very High | Number of dog bite incidents reported to DOHMH: Very High
958,11-15,Heat will make its case loudly and without remorse; the water will be honest about what it holds.,Number of heat/hot water complaints to 311: Very High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low
959,11-15,It will be a time when the water will betray its contents to anyone who looks — and when the unseen feast will be well-provisioned.,Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High
960,11-15,"Mark it well: what nourishes the hidden will be lavish, even as more will be held than released.",Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High | Number of NYPD arrests: Very High
961,11-16,"The underground will go quiet, even while the path will cooperate in ways that seem almost suspicious.",Number of street condition complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very Low
962,11-16,"As the underground will go quiet, so too teeth will come from trusted places.",Number of rodent inspections conducted by NYC: Very Low | Number of dog bite incidents reported to DOHMH: Very High
963,11-16,"As affection will bare its fangs before the day is done, so too decay will be mostly restrained.",Number of dog bite incidents reported to DOHMH: Very High | Number of unsanitary condition complaints to 311: Low
964,11-17,"Where the underneath will hold its silence, there too the hidden multitude will disperse without fanfare.",Number of unsanitary condition complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very Low
965,11-17,"The signs agree: the underground will go quiet, and the ground will hold its tongue entirely.",Number of rodent inspections conducted by NYC: Very Low | Number of street condition complaints to 311: Very Low
966,11-17,What comes: roads will be unnervingly obliging. What follows: the beloved will show its teeth.,Number of street condition complaints to 311: Very Low | Number of dog bite incidents reported to DOHMH: Very High
967,11-18,Gentleness will prevail in the places you least expected it; sourness will flavor the depths without apology.,Number of dog bite incidents reported to DOHMH: Very Low | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low
968,11-18,"What flows will have a sour argument to make, and yet the hidden filth will speak and be understood.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low | Number of unsanitary condition complaints to 311: Very High
969,11-18,"Things that were buried will resurface, and yet the seeking will be common.",Number of unsanitary condition complaints to 311: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): High
970,11-19,"The signs agree: the bound will outnumber the free, and what lives without witness will diminish.",Number of NYPD arrests: Very High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low
971,11-19,"Where what cannot be seen will barely be there, there too vision will be refused to those who look down.",Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
972,11-19,"When clarity will be unavailable below the surface, know also that sound will keep mostly to itself.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High | Number of noise (street/sidewalk) complaints to 311: Low
973,11-20,"As the wandering will be many, so too no familiar thing will bite.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of dog bite incidents reported to DOHMH: Very Low
974,11-20,First what could wound will choose not to; then the iron will be busy.,Number of dog bite incidents reported to DOHMH: Very Low | Number of NYPD arrests: Very High
